Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,CN,6,2023,31,M,false,JMC,JUNE,2024,Lecture 4
1,CN,6,2023,31,M,false,PYC,SEPTEMBER,2023,Lecture 10
2,IN,2,2021,23,U,true,JMC,DECEMBER,2021,Lecture 13
2,IN,2,2021,23,U,true,PYC,NOVEMBER,2022,Lecture 1
3,US,11,2020,59,F,false,JMC,MAY,2024,Lecture 11
3,US,11,2020,59,F,false,PYC,SEPTEMBER,2022,Lecture 6
4,GB,1,2018,43,F,true,JMC,DECEMBER,2019,Lecture 12
4,GB,1,2018,43,F,true,PYC,OCTOBER,2021,Lecture 2
5,AU,2,2023,38,M,false,JMC,JUNE,2023,Lecture 2
5,AU,2,2023,38,M,false,PYC,FEBRUARY,2023,Lecture 6
6,CN,10,2016,88,F,false,JMC,MARCH,2019,Lecture 8
6,CN,10,2016,88,F,false,PYC,DECEMBER,2021,Lecture 8
7,GB,6,2018,74,U,false,JMC,JANUARY,2020,Lecture 4
7,GB,6,2018,74,U,false,PYC,MAY,2024,Lecture 10
8,AU,9,2019,42,U,true,JMC,MARCH,2022,Lecture 9
8,AU,9,2019,42,U,true,PYC,JULY,2020,Lecture 12
9,CN,5,2016,82,F,false,JMC,AUGUST,2019,Lecture 14
9,CN,5,2016,82,F,false,PYC,SEPTEMBER,2022,Lecture 11
10,GB,7,2023,24,U,true,JMC,DECEMBER,2024,Lecture 6
10,GB,7,2023,24,U,true,PYC,FEBRUARY,2024,Lecture 3
11,IN,11,2022,58,F,true,JMC,APRIL,2022,Lecture 3
11,IN,11,2022,58,F,true,PYC,AUGUST,2022,Lecture 7
12,US,10,2021,69,M,true,JMC,DECEMBER,2021,Lecture 14
12,US,10,2021,69,M,true,PYC,NOVEMBER,2024,Lecture 12
13,US,8,2017,28,U,false,JMC,OCTOBER,2022,Lecture 1
13,US,8,2017,28,U,false,PYC,SEPTEMBER,2023,Lecture 8
14,IN,10,2018,20,U,true,JMC,APRIL,2020,Lecture 11
14,IN,10,2018,20,U,true,PYC,APRIL,2022,Lecture 2
15,IN,12,2016,33,U,true,JMC,SEPTEMBER,2022,Lecture 11
15,IN,12,2016,33,U,true,PYC,DECEMBER,2024,Lecture 14
16,IN,5,2024,69,U,true,JMC,OCTOBER,2024,Lecture 3
16,IN,5,2024,69,U,true,PYC,APRIL,2024,Lecture 12
17,CN,8,2015,33,F,false,JMC,AUGUST,2023,Lecture 3
17,CN,8,2015,33,F,false,PYC,SEPTEMBER,2018,Lecture 2
18,CN,9,2022,39,F,false,JMC,APRIL,2024,Lecture 14
18,CN,9,2022,39,F,false,PYC,AUGUST,2023,Lecture 2
19,US,10,2019,87,U,true,JMC,AUGUST,2019,Lecture 13
19,US,10,2019,87,U,true,PYC,MAY,2019,Lecture 11
20,US,4,2017,47,M,false,JMC,SEPTEMBER,2020,Lecture 5
20,US,4,2017,47,M,false,PYC,JUNE,2019,Lecture 6
21,US,10,2017,21,F,false,JMC,JULY,2017,Lecture 14
21,US,10,2017,21,F,false,PYC,OCTOBER,2023,Lecture 6
22,US,6,2020,55,F,true,JMC,JULY,2020,Lecture 5
22,US,6,2020,55,F,true,PYC,NOVEMBER,2022,Lecture 7
23,AU,6,2015,38,F,true,JMC,SEPTEMBER,2017,Lecture 9
23,AU,6,2015,38,F,true,PYC,AUGUST,2022,Lecture 7
24,US,2,2019,19,U,false,JMC,SEPTEMBER,2024,Lecture 4
24,US,2,2019,19,U,false,PYC,MAY,2023,Lecture 13
25,GB,7,2023,40,M,false,JMC,MARCH,2024,Lecture 12
25,GB,7,2023,40,M,false,PYC,FEBRUARY,2023,Lecture 7
